"%s was added to your shopping cart.","%s با موفقیت به سبد خرید شما اضافه شد."
"%s was updated in your shopping cart.","%s was updated in your shopping cart."
"* Required Fields","* موارد الزامی"
"Add New Address","نشانی جدید اضافه کنید"
"Add New Condition","Add New Condition"
"Add coupon code for shopping cart","Add coupon code for shopping cart"
"Add gift messages to shopping cart","Add gift messages to shopping cart"
"Add product to shopping cart","Add product to shopping cart"
"Add product(s) to shopping cart","Add product(s) to shopping cart"
"Add to Cart","اضافه به سبد"
"Add to Compare","اضافه برای مقایسه"
"Add to Wishlist","اضافه کردن به فهرست علاقمندیها"
"Additional Product Info","Additional Product Info"
"Address","نشانی"
"Address %s of %s","نشانی %s از %s"
"After Adding a Product Redirect to Shopping Cart","After Adding a Product Redirect to Shopping Cart"
"Allow Guest Checkout","Allow Guest Checkout"
"Already registered?","قبلاً ثبت نام کرده اید؟"
"An error occurred in the process of payment","خطا در هنگام پرداخت رخ داده است."
"An error occurred while deleting this condition.","An error occurred while deleting this condition."
"An error occurred while saving this condition.","An error occurred while saving this condition."
"Apply Coupon","وارد کردن کد تخفیف"
"Are you sure you would like to remove this item from the shopping cart?","آیا مطمئن هستید که می خواهید این کالا را از سبد خرید خود حذف نمایید؟"
"Back","بازگشت"
"Back to Billing Information","Back to Billing Information"
"Back to Select Addresses","Back to Select Addresses"
"Back to Shipping Information","Back to Shipping Information"
"Back to Shopping Cart","بازگشت به سبد خرید"
"Based on your selection, you may be interested in the following items:","بر مبنای انتخاب شما، شما شاید به موارد زیر نیز علاقه مند باشید:"
"Billing Address","نشانی صدور صورتحساب"
"Billing Information","اطلاعات صدور صورتحساب"
"Billing Information - %s","Billing Information - %s"
"Cancel Coupon","Cancel Coupon"
"Cannot add item to the shopping cart.","Cannot add item to the shopping cart."
"Cannot add the item to shopping cart","Cannot add the item to shopping cart"
"Cannot add the item to shopping cart.","Cannot add the item to shopping cart."
"Cannot apply the coupon code.","Cannot apply the coupon code."
"Cannot configure product.","Cannot configure product."
"Cannot open the overview page","Cannot open the overview page"
"Cannot process the item.","Cannot process the item."
"Cannot remove the item.","نمی توان این مورد را حذف کرد"
"Cannot update shopping cart.","سبد خرید را نمی توان به روز رسانی کرد"
"Cannot update the item.","Cannot update the item."
"Card Verification Number Visual Reference","مرجع دیداری تایید شماره کارت"
"Cart Product API","Cart Product API"
"Cart Subtotal:","جمع کل سبد:"
"Change","Change"
"Change Billing Address","تغییر نشانی صدور صورتحساب"
"Checkbox Text","Checkbox Text"
"Checkout","پرداخت"
"Checkout Conditions","Checkout Conditions"
"Checkout Method","شیوه‌ی پرداخت"
"Checkout Options","Checkout Options"
"Checkout Progress Wrapper","Checkout Progress Wrapper"
"Checkout Section","Checkout Section"
"Checkout Terms and Conditions","Checkout Terms and Conditions"
"Checkout as Guest","به عنوان میهمان تسویه کنید"
"Checkout as a Guest or Register","به عنوان میهمان تسویه می کنید یا ثبت نام می کنید"
"Checkout with Multiple Addresses","تسویه با نشانی های گوناگون"
"City","شهر"
"Click <a href=""%s"" onclick=""this.target='_blank'"">here to print</a> a copy of your order confirmation.","با کلیک بر <a href=""%s"" onclick=""this.target='_blank'"">اینجا یک پرینت</a> از کپی تایید سفارش تان بگیرید."
"Click <a href=""%s"">here</a> to continue shopping.","لطفا <a href=""%s""> برای ادامه خرید اینجا</a>  را کلیک نمایید."
"Close","بستن"
"Company","شرکت"
"Condition Name","Condition Name"
"Configurable Product Image","Configurable Product Image"
"Configure Cart Item","Configure Cart Item"
"Confirm Password","تایید رمز عبور"
"Content","Content"
"Content Height","Content Height"
"Content Height (css)","Content Height (css)"
"Continue","ادامه"
"Continue Shopping","ادامه خرید"
"Continue to Billing Information","ادامه به اطلاعات صدور صورتحساب"
"Continue to Review Your Order","ادامه مرور سفارش شما"
"Continue to Shipping Information","ادامه به اطلاعات ارسال"
"Country","کشور"
"Coupon code ""%s"" is not valid.","Coupon code ""%s"" is not valid."
"Coupon code ""%s"" was applied.","Coupon code ""%s"" was applied."
"Coupon code was canceled.","Coupon code was canceled."
"Create Billing Address","نشانی صدور صورتحساب را بسازید"
"Create Shipping Address","نشانی ارسال بسازید"
"Create an order from shopping cart","Create an order from shopping cart"
"Create shopping cart","Create shopping cart"
"Customer Information","Customer Information"
"Customer's information","Customer's information"
"Data saving problem","Data saving problem"
"Default Billing","صدور صورتحساب پیش فرض"
"Default Shipping","پیش فرض ارسال"
"Delete Condition","Delete Condition"
"Details","جزئیات"
"Disabled","Disabled"
"Discount Codes","کد تخفیف"
"Display Cart Summary","Display Cart Summary"
"Display Shopping Cart Sidebar","Display Shopping Cart Sidebar"
"Display item quantities","Display item quantities"
"Display number of items in cart","Display number of items in cart"
"Display number of items in wishlist","Display number of items in wishlist"
"Easy access to your order history and status","مشاهده سفارشهای قبلی و وضعیت سفارشها"
"Edit","ویرایش"
"Edit Address","ویرایش نشانی"
"Edit Billing Address","ویرایش نشانی صدور صورتحساب"
"Edit Items","ویرایش اقلام"
"Edit Shipping Address","ویرایش نشانی ارسال"
"Edit Terms and Conditions","Edit Terms and Conditions"
"Edit Your Cart","ویرایش سبد شما"
"Edit item","ویرایش"
"Edit item parameters","Edit item parameters"
"Email Address","نشانی پست الکتریکی"
"Enable Onepage Checkout","Enable Onepage Checkout"
"Enable Terms and Conditions","Enable Terms and Conditions"
"Enabled","Enabled"
"Enter a New Address","نشانی جدید وارد کنید"
"Enter your coupon code if you have one.","اگر کد تخفیفی دارید آن را وارد کنید."
"Enter your destination to get a shipping estimate.","لطفا مفصد خود را وارد کنید تا ما تخمین مناسبی از هزینه پست داشته باشیم."
"Estimate Shipping and Tax","تخمین ارسال و مالیات"
"Excl. Tax","Excl. Tax"
"Fast and easy check out","تسویه سریع و آسان"
"Fax","فکس"
"Forgot an Item?","موردی را فراموش کرده اید؟"
"Forgot your password?","کلمه عبور خود را فراموش کرده اید؟"
"Get a Quote","تخمین مقصد"
"Get list of available payment methods","Get list of available payment methods"
"Get list of available shipping methods","Get list of available shipping methods"
"Get list of products in shopping cart","Get list of products in shopping cart"
"Get terms and conditions","Get terms and conditions"
"Get total prices for shopping cart","Get total prices for shopping cart"
"Gift Message","Gift Message"
"Grand Total:","جمع نهایی:"
"Grouped Product Image","Grouped Product Image"
"HTML","HTML"
"ID","ID"
"Incl. Tax","Incl. Tax"
"Invalid method: %s","روش اشتباه: %s"
"Item not found or already ordered","Item not found or already ordered"
"Items","اقلام"
"Items After","Items After"
"Items Before","Items Before"
"Load customer quote error","Load customer quote error"
"Loading next step...","در حال بارگذاری صفحه بعد..."
"Login","وارد شوید"
"Login/Registration Before","Login/Registration Before"
"Manage Checkout Terms and Conditions","Manage Checkout Terms and Conditions"
"Maximum Display Recently Added Item(s)","Maximum Display Recently Added Item(s)"
"Maximum qty allowed for Shipping to multiple addresses is %s","Maximum qty allowed for Shipping to multiple addresses is %s"
"Move to Wishlist","انتقال به فهرست علاقمندیها"
"Multishipping Checkout","Multishipping Checkout"
"Multishipping Checkout Address (Any) Form","Multishipping Checkout Address (Any) Form"
"Multishipping Checkout Billing Address Creation","Multishipping Checkout Billing Address Creation"
"Multishipping Checkout Billing Address Edit Form","Multishipping Checkout Billing Address Edit Form"
"Multishipping Checkout Billing Address Selection","Multishipping Checkout Billing Address Selection"
"Multishipping Checkout Billing Information Step","Multishipping Checkout Billing Information Step"
"Multishipping Checkout Customer Address Edit Form","Multishipping Checkout Customer Address Edit Form"
"Multishipping Checkout Overview","Multishipping Checkout Overview"
"Multishipping Checkout Shipping Address Creation","Multishipping Checkout Shipping Address Creation"
"Multishipping Checkout Shipping Address Edit Form","Multishipping Checkout Shipping Address Edit Form"
"Multishipping Checkout Shipping Address Selection","Multishipping Checkout Shipping Address Selection"
"Multishipping Checkout Shipping Information Step","Multishipping Checkout Shipping Information Step"
"Multishipping Checkout Success","Multishipping Checkout Success"
"My Cart","سبد خرید"
"My Cart (%s item)","سبد خرید (%s مورد)"
"My Cart (%s items)","سبد خرید (%s مورد)"
"My Cart Link","لینک به سبد خرید"
"New Address","نشانی جدید"
"New Condition","New Condition"
"ORDER TOTAL WILL BE DISPLAYED BEFORE YOU SUBMIT THE ORDER","ORDER TOTAL WILL BE DISPLAYED BEFORE YOU SUBMIT THE ORDER"
"One Page Checkout","One Page Checkout"
"One Page Checkout Failure","One Page Checkout Failure"
"One Page Checkout Overview","One Page Checkout Overview"
"One Page Checkout Success","One Page Checkout Success"
"One item of products do not have identifier or sku","One item of products do not have identifier or sku"
"One item of products is not belong any of quote item","One item of products is not belong any of quote item"
"Order #","سفارش #"
"Order Review","مرور سفارش"
"Order Success","سفارش با موفقیت انجام شد"
"Order place error.","Order place error."
"Other Items in Your Order","Other Items in Your Order"
"Overview Items After","Overview Items After"
"Password","رمز عبور"
"Payment Failed Email Reciever","Payment Failed Email Reciever"
"Payment Failed Email Sender","Payment Failed Email Sender"
"Payment Failed Emails","Payment Failed Emails"
"Payment Failed Template","Payment Failed Template"
"Payment Information","اطلاعات پرداخت"
"Payment Method","روش پرداخت"
"Payment Methods After Checkout Button","Payment Methods After Checkout Button"
"Payment Methods Before Checkout Button","Payment Methods Before Checkout Button"
"Payment method information","Payment method information"
"Payment method is not defined","روش پرداخت مشخص نشده است"
"Payment methods in shopping cart","Payment methods in shopping cart"
"Payment profile # %s: ""%s"".","Payment profile # %s: ""%s""."
"Place Order","ایجاد سفارش"
"Please agree to all Terms and Conditions before placing the order.","Please agree to all Terms and Conditions before placing the order."
"Please agree to all Terms and Conditions before placing the orders.","Please agree to all Terms and Conditions before placing the orders."
"Please agree to all the terms and conditions before placing the order.","Please agree to all the terms and conditions before placing the order."
"Please log in below:","لطفاً وارد شوید"
"Please select region, state or province","لطفاً استان خود را انتخاب کنید"
"Please select shipping address for applicable items","Please select shipping address for applicable items"
"Please select shipping methods for all addresses","لطفا روش ارسال را برای تمام نشانی ها انتخاب کنید"
"Price","قیمت"
"Proceed to Checkout","تسویه نهایی"
"Product","محصول"
"Product Name","نام محصول"
"Products","محصولات"
"Qty","تعداد"
"Qty:","تعداد:"
"Quantity was recalculated from %d to %d","Quantity was recalculated from %d to %d"
"Quote Lifetime (days)","Quote Lifetime (days)"
"Quote item does not exist.","Quote item does not exist."
"Quote item is not found.","Quote item is not found."
"Recently added item(s)","آخرین مورد(های) اضافه شده"
"Register","ثبت نام"
"Register and save time!","ثبت نام کنید تا در وقت صرفه جویی کنید!"
"Register to Create an Account","ثبت نام جهت ساخت حساب جدید"
"Register with us for future convenience:","برای خرید های آینده عضو سایت شوید:"
"Remove Item","حذف مورد"
"Remove This Item","حذف این مورد"
"Remove coupon code from shopping cart","Remove coupon code from shopping cart"
"Remove item","Remove item"
"Remove product from shopping cart","Remove product from shopping cart"
"Remove product(s) from shopping cart","Remove product(s) from shopping cart"
"Retrieve information about shopping cart","Retrieve information about shopping cart"
"Review Order","مرور سفارش"
"Review Order - %s","Review Order - %s"
"Sales","Sales"
"Save Condition","Save Condition"
"Save in address book","Save in address book"
"See price before order confirmation.","See price before order confirmation."
"Select Address","انتخاب نشانی"
"Select Addresses","انتخاب نشانی ها"
"Select Shipping Method","انتخاب روش ارسال"
"Select State/Province...","انتخاب استان..."
"Select a billing address from your address book or enter a new address.","از دفترچه نشانی خود نشانی صدور صورتحساب را انتخاب کنید یا <a href=""#"" onclick=""billing.newAddress(true); return false;"">نشانی جدید وارد کنید</a>."
"Select a shipping address from your address book or enter a new address.","از دفترچه نشانی خود نشانی ارسال را انتخاب کنید یا <a href=""#"" onclick=""shipping.newAddress(true); return false;"">نشانی جدید وارد کنید</a>."
"Send Payment Failed Email Copy Method","Send Payment Failed Email Copy Method"
"Send Payment Failed Email Copy To","Send Payment Failed Email Copy To"
"Send To","فرستادن به"
"Separate by "","".","Separate by "",""."
"Set customer for shopping cart","Set customer for shopping cart"
"Set customer's addresses in shopping cart","Set customer's addresses in shopping cart"
"Set payment method","Set payment method"
"Set shipping method","Set shipping method"
"Ship to Multiple Addresses","ارسال به نشانی های گوناگون"
"Ship to different address","به نشانی دیگری بفرست"
"Ship to this address","ارسال به این نشانی"
"Shipping Address","نشانی ارسال"
"Shipping Information","اطلاعات ارسال"
"Shipping Method","روش ارسال"
"Shipping Methods","روش های ارسال"
"Shipping To","Shipping To"
"Shipping information","Shipping information"
"Shipping method has not been selected yet","روش ارسال هنوز انتخاب نشده است"
"Shipping methods in shopping cart","Shipping methods in shopping cart"
"Shipping selection is not applicable.","Shipping selection is not applicable"
"Shopping Cart","سبد خرید"
"Shopping Cart Form Before","Shopping Cart Form Before"
"Shopping Cart Sidebar","Shopping Cart Sidebar"
"Shopping Cart Sidebar Extra Actions","Shopping Cart Sidebar Extra Actions"
"Shopping Cart is Empty","سبد خرید خالی است"
"Shopping cart ability to set coupon code","Shopping cart ability to set coupon code"
"Show Content as","Show Content as"
"Some of the requested products are not available in the desired quantity.","تعدادی از محصولات درخواستی شما در تعداد مورد نظر موجود نمی باشد"
"Some of the requested products are unavailable.","بعضی از محصولات درخواستی شما موجود نمی باشد"
"Some products quantities were recalculated because of quantity increment mismatch","Some products quantities were recalculated because of quantity increment mismatch"
"Sorry, no quotes are available for this order at this time.","متاسفانه، برای این سفارش در حال حاضر قیمت وجود ندارد."
"State/Province","استان"
"Status","وضعیت"
"Store View","Store View"
"Street Address","نشانی خیابان"
"Street Address %s","Street Address %s"
"Submitting order information...","در حال تایید اطلاعات سفارش..."
"Subtotal","جمع فرعی"
"Telephone","تلفن"
"Terms and Conditions","Terms and Conditions"
"Terms and Conditions Information","Terms and Conditions Information"
"Terms and conditions","Terms and conditions"
"Text","Text"
"Thank you for your purchase!","برای خرید شما متشکریم!"
"The condition has been deleted","The condition has been deleted"
"The condition has been saved.","The condition has been saved."
"The onepage checkout is disabled.","The onepage checkout is disabled."
"The product could not be found.","The product could not be found."
"The product does not exist.","The product does not exist."
"There are <a href=""%s"">%s items</a> in your cart.","در سبد شما <a href=""%s"">%s مورد</a> وجود دارد."
"There is <a href=""%s"">1 item</a> in your cart.","در سبد شما <a href=""%s"">یک مورد</a> وجود دارد."
"There was an error processing your order. Please contact us or try again later.","There was an error processing your order. Please contact us or try again later."
"This condition no longer exists.","This condition no longer exists."
"Total","جمع"
"Total for this address","مجموع برای این نشانی"
"Unable to set Payment Method.","Unable to set Payment Method."
"Unit Price","قیمت واحد"
"Update Cart","Update Cart"
"Update Qty &amp; Addresses","به روز رسانی تعداد &amp; نشانی ها"
"Update Shopping Cart","به روز رسانی سبد خرید"
"Update Total","به روز رسانی مجموع"
"Update product quantities in shopping cart","Update product quantities in shopping cart"
"Update product(s) quantities in shopping cart","Update product(s) quantities in shopping cart"
"Use Billing Address","استفاده از نشانی صدور صورتحساب"
"We are processing your order and you will soon receive an email with details of the order. Once the order has shipped you will receive another email with a link to track its progress.","We are processing your order and you will soon receive an email with details of the order. Once the order has shipped you will receive another email with a link to track its progress."
"What's this?","What's this?"
"You have no items in your shopping cart.","شما هیچ کالایی در سبد خرید خود ندارید."
"You will receive an order confirmation email with details of your order and a link to track its progress.","شما یک نامه تایید سفارش دریافت خواهید کرد که شامل جزئیات سفارش شما و نشانی جهت پیگیری وضعیت آن است."
"Your Checkout Progress","فرآیند پرداخت"
"Your billing agreement # is: %s.","Your billing agreement # is: %s."
"Your order # is: %s.","شماره سفارش شما %s است."
"Your order has been received","سفارش شما دریافت شد"
"Your order number is ","سفارش شما "
"Your recurring payment profiles:","Your recurring payment profiles:"
"Zip/Postal Code","کد پستی"
